#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0-(0,0).png,17823,"{""piece"":""2""}",0,0,"{}","{}"
0-(0,1).png,21586,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,2).png,22839,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,3).png,23196,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,4).png,24215,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,5).png,24634,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,6).png,25678,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,7).png,25560,"{""piece"":""1""}",0,0,"{}","{}"
0-(0,8).png,19654,"{""piece"":""2""}",0,0,"{}","{}"
0-(1,0).png,21675,"{""piece"":""2""}",0,0,"{}","{}"
0-(1,1).png,25184,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,2).png,26499,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,3).png,27219,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,4).png,27829,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,5).png,27537,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,6).png,28355,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,7).png,27711,"{""piece"":""1""}",0,0,"{}","{}"
0-(1,8).png,21691,"{""piece"":""2""}",0,0,"{}","{}"
0-(2,0).png,21512,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,1).png,24898,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,2).png,26087,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,3).png,25968,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,4).png,26107,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,5).png,26923,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,6).png,27806,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,7).png,27557,"{""piece"":""1""}",0,0,"{}","{}"
0-(2,8).png,21683,"{""piece"":""2""}",0,0,"{}","{}"
0-(3,0).png,21065,"{""piece"":""2""}",0,0,"{}","{}"
0-(3,1).png,24021,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,2).png,25169,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,3).png,26167,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,4).png,25417,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,5).png,25642,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,6).png,26753,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,7).png,27391,"{""piece"":""1""}",0,0,"{}","{}"
0-(3,8).png,22314,"{""piece"":""2""}",0,0,"{}","{}"
0-(4,0).png,21727,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,1).png,23842,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,2).png,24430,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,3).png,26013,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,4).png,25363,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,5).png,26258,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,6).png,26493,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,7).png,26619,"{""piece"":""1""}",0,0,"{}","{}"
0-(4,8).png,22111,"{""piece"":""2""}",0,0,"{}","{}"
0-(5,0).png,21513,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,1).png,23195,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,2).png,23867,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,3).png,26089,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,4).png,26260,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,5).png,25966,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,6).png,27663,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,7).png,27818,"{""piece"":""1""}",0,0,"{}","{}"
0-(5,8).png,22690,"{""piece"":""2""}",0,0,"{}","{}"
0-(6,0).png,21803,"{""piece"":""2""}",0,0,"{}","{}"
0-(6,1).png,23560,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,2).png,24201,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,3).png,25777,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,4).png,26325,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,5).png,27000,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,6).png,28561,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,7).png,29024,"{""piece"":""1""}",0,0,"{}","{}"
0-(6,8).png,23180,"{""piece"":""2""}",0,0,"{}","{}"
0-(7,0).png,22074,"{""piece"":""1""}",0,0,"{}","{}"
0-(7,1).png,24060,"{""piece"":""2""}",0,0,"{}","{}"
0-(7,2).png,25421,"{""piece"":""2""}",0,0,"{}","{}"
0-(7,3).png,25906,"{""piece"":""1""}",0,0,"{}","{}"
0-(7,4).png,27242,"{""piece"":""1""}",0,0,"{}","{}"
0-(7,5).png,27726,"{""piece"":""1""}",0,0,"{}","{}"
0-(7,6).png,28962,"{""piece"":""1""}",0,0,"{}","{}"
0-(7,7).png,29188,"{""piece"":""1""}",0,0,"{}","{}"
0-(7,8).png,22537,"{""piece"":""2""}",0,0,"{}","{}"
0-(8,0).png,16811,"{""piece"":""2""}",0,0,"{}","{}"
0-(8,1).png,20441,"{""piece"":""2""}",0,0,"{}","{}"
0-(8,2).png,23756,"{""piece"":""1""}",0,0,"{}","{}"
0-(8,3).png,24068,"{""piece"":""2""}",0,0,"{}","{}"
0-(8,4).png,24718,"{""piece"":""1""}",0,0,"{}","{}"
0-(8,5).png,24703,"{""piece"":""2""}",0,0,"{}","{}"
0-(8,6).png,26624,"{""piece"":""1""}",0,0,"{}","{}"
0-(8,7).png,26826,"{""piece"":""1""}",0,0,"{}","{}"
